Rango de Edad,Edad,Hombres-2012,Mujeres-2012,Hombres-2013,Mujeres-2013,Hombres-2014,Mujeres-2014,Hombres-2015,Mujeres-2015,Hombres-2016,Mujeres-2016,Hombres-2017,Mujeres-2017,Hombres-2018,Mujeres-2018,Hombres-2019,Mujeres-2019,Hombres-2020,Mujeres-2020,Hombres-2021,Mujeres-2021,Hombres-2022,Mujeres-2022
0-4,0,5819,5533,5933,5664,5906,5637,5882,5613,5852,5585,5824,5557,5793,5526,5762,5497,5731,5467,5700,5436,5670,5408
0-4,1,5745,5469,5802,5512,5916,5643,5891,5619,5867,5596,5838,5570,5812,5542,5781,5513,5752,5485,5721,5456,5691,5426
0-4,2,5700,5431,5756,5473,5812,5516,5925,5647,5901,5623,5876,5599,5846,5574,5821,5545,5789,5517,5760,5488,5730,5461
0-4,3,5663,5400,5716,5443,5772,5484,5827,5526,5939,5657,5915,5633,5890,5609,5859,5583,5834,5555,5801,5526,5772,5497
0-4,4,5622,5364,5680,5413,5734,5457,5789,5497,5843,5539,5955,5669,5930,5645,5904,5620,5873,5596,5849,5567,5816,5538
5-9,5,5578,5326,5639,5379,5697,5427,5750,5471,5805,5511,5859,5553,5970,5683,5945,5658,5918,5633,5886,5608,5862,5579
5-9,6,5519,5274,5595,5341,5655,5393,5712,5441,5765,5484,5819,5524,5873,5565,5984,5696,5959,5671,5932,5646,5899,5621
5-9,7,5459,5220,5535,5290,5610,5356,5670,5408,5726,5455,5779,5498,5833,5537,5886,5578,5997,5708,5972,5684,5945,5658
5-9,8,5392,5161,5474,5235,5551,5305,5625,5371,5685,5422,5740,5469,5793,5511,5846,5550,5899,5590,6009,5720,5984,5695
5-9,9,5323,5097,5408,5175,5489,5249,5565,5318,5639,5384,5700,5434,5753,5482,5806,5523,5860,5563,5913,5603,6022,5732
10-14,10,5250,5029,5338,5109,5422,5187,5503,5261,5579,5330,5653,5395,5714,5446,5767,5494,5820,5534,5873,5574,5926,5615
10-14,11,5233,5006,5263,5039,5350,5120,5435,5198,5516,5271,5592,5341,5666,5407,5727,5457,5779,5505,5833,5545,5886,5584
10-14,12,5215,4982,5246,5017,5277,5050,5363,5131,5448,5209,5528,5283,5605,5353,5679,5418,5739,5468,5792,5517,5846,5556
10-14,13,5194,4955,5229,4996,5260,5030,5291,5064,5377,5144,5462,5222,5542,5297,5618,5366,5692,5431,5752,5481,5805,5530
10-14,14,5171,4926,5209,4972,5244,5014,5274,5047,5306,5081,5391,5161,5476,5239,5556,5313,5632,5382,5707,5447,5767,5497
15-19,15,5143,4891,5186,4946,5224,4992,5259,5034,5289,5067,5320,5101,5406,5181,5491,5259,5570,5332,5646,5401,5722,5465
15-19,16,5102,4846,5161,4910,5204,4965,5242,5011,5278,5053,5307,5086,5338,5120,5424,5199,5508,5277,5588,5349,5663,5420
15-19,17,5034,4776,5128,4858,5186,4921,5230,4979,5266,5025,5303,5066,5332,5100,5363,5133,5449,5213,5532,5291,5612,5362
15-19,18,4969,4710,5066,4777,5160,4859,5217,4923,5261,4981,5297,5029,5333,5070,5362,5105,5392,5138,5477,5218,5561,5297
15-19,19,4938,4677,4997,4700,5094,4768,5187,4851,5244,4916,5287,4974,5324,5023,5359,5065,5389,5101,5418,5135,5502,5215
20-24,20,4889,4628,4950,4659,5010,4683,5108,4753,5200,4836,5258,4903,5300,4961,5339,5012,5373,5055,5404,5091,5432,5127
20-24,21,4816,4564,4885,4608,4948,4640,5008,4665,5107,4737,5199,4820,5257,4889,5300,4947,5340,5000,5374,5044,5406,5081
20-24,22,4738,4497,4803,4546,4874,4591,4938,4625,4999,4650,5099,4724,5193,4808,5251,4878,5294,4936,5336,4991,5370,5036
20-24,23,4652,4425,4726,4483,4793,4534,4866,4581,4930,4615,4992,4641,5093,4716,5188,4801,5246,4871,5290,4931,5333,4987
20-24,24,4562,4350,4645,4417,4720,4477,4789,4529,4862,4577,4927,4612,4990,4638,5092,4714,5187,4799,5246,4870,5290,4931
25-29,25,4473,4275,4560,4346,4644,4414,4719,4476,4789,4528,4863,4577,4929,4612,4993,4639,5095,4715,5190,4801,5249,4873
25-29,26,4388,4203,4473,4273,4561,4345,4646,4414,4721,4476,4792,4529,4865,4579,4933,4614,4997,4641,5100,4718,5195,4805
25-29,27,4305,4133,4389,4201,4474,4271,4563,4344,4648,4414,4723,4476,4795,4530,4869,4580,4938,4616,5002,4643,5104,4721
25-29,28,4225,4066,4305,4131,4390,4200,4474,4271,4564,4344,4650,4415,4725,4477,4798,4532,4873,4582,4941,4618,5006,4647
25-29,29,4147,4000,4224,4065,4304,4130,4390,4200,4473,4272,4564,4345,4650,4416,4727,4479,4800,4534,4876,4585,4944,4622
30-34,30,4071,3935,4145,4000,4223,4066,4303,4132,4389,4202,4473,4275,4565,4348,4651,4419,4729,4483,4802,4538,4878,4590
30-34,31,3971,3847,4067,3935,4142,4001,4221,4067,4302,4133,4388,4204,4472,4277,4565,4351,4651,4422,4729,4485,4803,4543
30-34,32,3872,3759,3967,3848,4063,3936,4140,4003,4219,4069,4301,4136,4387,4207,4471,4280,4564,4355,4650,4425,4729,4487
30-34,33,3775,3672,3866,3759,3962,3849,4058,3937,4136,4004,4215,4070,4297,4138,4384,4210,4468,4283,4561,4357,4649,4429
30-34,34,3679,3586,3768,3673,3859,3759,3956,3852,4052,3939,4131,4007,4210,4073,4292,4141,4379,4213,4464,4286,4557,4361
35-39,35,3585,3500,3670,3587,3760,3675,3851,3761,3949,3855,4045,3943,4124,4011,4204,4078,4286,4145,4373,4217,4458,4290
35-39,36,3489,3414,3574,3502,3660,3589,3751,3677,3842,3763,3940,3857,4037,3946,4117,4016,4197,4082,4279,4148,4367,4221
35-39,37,3394,3328,3480,3414,3565,3503,3651,3590,3744,3678,3835,3765,3933,3859,4030,3948,4111,4020,4191,4086,4273,4151
35-39,38,3298,3241,3386,3328,3472,3414,3558,3503,3644,3590,3737,3678,3828,3765,3928,3860,4025,3949,4106,4022,4186,4089
35-39,39,3200,3153,3291,3239,3380,3327,3466,3413,3552,3502,3638,3589,3731,3678,3822,3765,3922,3860,4020,3949,4102,4022
40-44,40,3104,3065,3193,3150,3284,3237,3373,3325,3459,3411,3546,3502,3632,3588,3725,3677,3816,3764,3917,3858,4016,3948
40-44,41,3013,2977,3095,3061,3184,3146,3275,3233,3365,3322,3451,3409,3538,3500,3625,3585,3718,3674,3810,3762,3911,3856
40-44,42,2918,2885,3002,2972,3084,3056,3174,3144,3265,3231,3355,3320,3441,3407,3528,3498,3618,3583,3711,3672,3803,3760
40-44,43,2818,2790,2906,2879,2991,2966,3072,3051,3163,3139,3254,3226,3345,3315,3431,3405,3518,3496,3608,3581,3701,3670
40-44,44,2714,2692,2806,2783,2894,2873,2979,2961,3060,3046,3152,3133,3243,3221,3334,3310,3420,3400,3508,3491,3598,3576
45-49,45,2608,2592,2700,2684,2792,2775,2881,2865,2967,2952,3048,3038,3140,3126,3231,3215,3322,3304,3408,3394,3496,3485
45-49,46,2503,2493,2593,2582,2685,2674,2778,2766,2868,2857,2954,2944,3035,3030,3127,3119,3218,3208,3309,3297,3396,3388
45-49,47,2399,2395,2488,2484,2579,2574,2670,2666,2763,2758,2853,2849,2939,2936,3020,3022,3112,3111,3204,3201,3296,3291
45-49,48,2298,2299,2384,2388,2473,2477,2564,2567,2655,2659,2748,2751,2838,2842,2925,2931,3006,3017,3098,3106,3190,3196
45-49,49,2200,2205,2284,2292,2370,2381,2459,2470,2550,2561,2642,2654,2734,2745,2824,2836,2911,2925,2992,3011,3084,3100
50-54,50,2104,2112,2185,2196,2269,2285,2357,2374,2446,2463,2536,2554,2628,2647,2720,2738,2810,2829,2897,2918,2978,3004
50-54,51,2006,2021,2091,2103,2172,2187,2255,2276,2344,2365,2432,2455,2522,2546,2614,2639,2705,2731,2796,2822,2883,2910
50-54,52,1945,1969,1994,2012,2079,2095,2160,2179,2243,2268,2332,2357,2419,2447,2509,2538,2601,2631,2692,2723,2783,2815
50-54,53,1873,1903,1934,1960,1983,2003,2068,2086,2149,2170,2230,2260,2319,2349,2406,2439,2496,2530,2588,2623,2679,2715
50-54,54,1793,1832,1862,1896,1923,1953,1972,1996,2057,2078,2137,2162,2218,2252,2307,2341,2393,2431,2483,2522,2575,2615
55-59,55,1716,1764,1782,1824,1851,1888,1911,1945,1960,1988,2044,2070,2124,2154,2205,2244,2294,2333,2380,2423,2469,2513
55-59,56,1641,1702,1705,1756,1771,1816,1839,1880,1899,1937,1948,1980,2031,2062,2111,2146,2191,2236,2280,2325,2366,2415
55-59,57,1575,1644,1629,1695,1692,1748,1758,1808,1826,1871,1884,1928,1934,1971,2016,2053,2096,2137,2176,2227,2264,2316
55-59,58,1511,1591,1563,1637,1617,1688,1678,1740,1744,1800,1812,1863,1870,1920,1919,1963,2001,2045,2079,2127,2159,2217
55-59,59,1449,1540,1499,1584,1550,1630,1603,1680,1663,1732,1728,1792,1796,1854,1854,1911,1903,1955,1984,2037,2061,2118
60-64,60,1397,1496,1436,1532,1484,1576,1535,1622,1588,1672,1647,1723,1712,1784,1779,1845,1837,1902,1885,1945,1965,2027
60-64,61,1341,1447,1382,1487,1421,1524,1468,1567,1518,1612,1571,1662,1630,1714,1694,1775,1761,1835,1817,1892,1866,1934
60-64,62,1289,1395,1326,1437,1367,1477,1405,1514,1450,1557,1500,1601,1552,1650,1611,1703,1675,1764,1741,1824,1797,1881
60-64,63,1248,1354,1273,1385,1310,1426,1351,1465,1388,1503,1433,1546,1481,1588,1532,1638,1591,1691,1654,1752,1719,1811
60-64,64,1201,1303,1233,1343,1256,1374,1293,1413,1333,1453,1370,1490,1415,1533,1461,1576,1512,1625,1571,1677,1632,1738
65-69,65,1160,1259,1185,1290,1216,1331,1238,1362,1275,1399,1314,1439,1352,1476,1396,1520,1440,1562,1491,1610,1549,1662
65-69,66,1129,1227,1144,1245,1169,1276,1199,1317,1220,1348,1256,1384,1295,1424,1333,1461,1376,1505,1419,1546,1470,1594
65-69,67,1087,1184,1111,1212,1126,1230,1151,1261,1180,1301,1201,1333,1236,1368,1275,1408,1313,1446,1354,1489,1397,1529
65-69,68,1037,1133,1068,1168,1093,1196,1107,1215,1131,1244,1160,1285,1181,1317,1216,1352,1254,1392,1291,1429,1331,1471
65-69,69,983,1077,1018,1117,1048,1152,1073,1180,1086,1199,1110,1228,1139,1269,1159,1301,1194,1337,1231,1376,1268,1412
70-74,70,921,1013,963,1061,998,1101,1026,1135,1051,1163,1065,1182,1087,1212,1116,1252,1136,1284,1170,1319,1207,1358
70-74,71,852,944,900,995,939,1043,974,1082,1001,1116,1026,1144,1040,1163,1060,1194,1089,1233,1110,1265,1143,1300
70-74,72,799,890,828,925,875,975,913,1022,948,1062,974,1095,998,1124,1013,1142,1032,1174,1060,1212,1082,1244
70-74,73,744,840,774,869,802,904,848,954,885,1000,919,1039,945,1073,969,1102,983,1121,1002,1152,1030,1190
70-74,74,694,796,717,819,747,848,774,883,818,931,855,976,888,1016,914,1050,937,1079,950,1098,970,1129
75-79,75,641,748,666,774,689,797,717,825,744,860,787,907,824,952,855,992,880,1025,903,1054,917,1075
75-79,76,595,707,613,723,638,751,660,774,687,802,713,837,755,883,791,927,820,966,845,999,868,1028
75-79,77,550,664,567,682,585,698,609,726,630,750,656,777,682,812,723,857,756,900,785,939,810,972
75-79,78,505,620,522,638,539,655,557,671,580,699,600,723,626,751,651,786,691,830,723,871,751,910
75-79,79,464,574,478,591,495,609,511,627,529,643,551,670,571,694,596,722,621,757,658,801,689,842
80 o más,80 o más,2825,3847,2978,4017,3133,4198,3292,4390,3457,4597,3627,4817,3807,5057,3996,5309,4197,5580,4411,5875,4647,6202
